arranging_objects,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 2 3 0 0]
arranging_objects,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 2 3 0 0]
arranging_objects,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 1 0 0 0 0 0 0]
cleaning_objects,[0 0 0 0 0 0 3 5 4 5 2 3 5 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 3]
cleaning_objects,[0 0 0 0 0 0 3 4 3 3 1 1 2 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2]
cleaning_objects,[0 0 0 0 0 0 1 2 4 5 0 1 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3]
having_meal,[1 2 3 4 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
having_meal,[2 2 2 2 2 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
having_meal,[2 3 3 4 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
making_cereal,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 2 2 1 2 0 1 0 0 0 0 0 0 0 0 0 1 2 3 0 0]
making_cereal,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 4 4 4 1 2 2 3 0 0 0 0 0 0 0 0 1 2 1 2 0 0]
making_cereal,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 3 1 2 1 2 0 0 0 0 0 0 0 0 0 1 1 2 0 0]
making_cereal,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 3 1 2 1 2 0 0 0 0 0 0 0 0 0 1 1 2 0 0]
microwaving_food,[0 0 0 0 0 0 0 0 0 0 3 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 1 2 0 0]
microwaving_food,[0 0 0 0 0 0 0 0 0 0 3 3 0 1 0 0 0 0 2 2 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
microwaving_food,[0 0 0 0 0 0 0 0 0 0 2 2 0 1 0 0 0 0 2 3 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
stacking_objects,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 5 5 4 0 0]
stacking_objects,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 3 6 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
stacking_objects,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 4 4 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
taking_food,[0 1 1 2 0 1 0 0 0 0 2 3 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
taking_food,[0 0 0 0 0 0 0 0 0 0 2 3 3 4 0 0 0 0 2 2 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
taking_food,[0 0 0 0 0 0 0 0 0 0 4 5 0 1 0 0 0 0 3 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
taking_medicine,[1 1 2 1 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 3 2 2 0 0 0 0 0 0 0 0 0 0]
taking_medicine,[1 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 0 0 0 0 0 0 0 0 0 0 0 0]
taking_medicine,[1 1 1 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 3 0 0 0 0 0 0 0 0 0 0 0 0]
unstacking_objects,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
unstacking_objects,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 4 1 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
